Symbol,YF_Ticker,Company Name,Industry,Indices
ABB,ABB.NS,ABB India Ltd.,Capital Goods,Nifty100
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,Nifty100
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,Nifty100
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,Nifty100
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,Nifty100
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,Nifty100
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,Nifty100
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,Nifty100
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,Nifty100
DMART,DMART.NS,Avenue Supermarts Ltd.,Consumer Services,Nifty100
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,Nifty100
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,Nifty100
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Nifty100
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Nifty100
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,Nifty100
BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,Nifty100
BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods,Nifty100
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Nifty100
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,Nifty100
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,Nifty100
BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,Nifty100
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,Nifty100
CANBK,CANBK.NS,Canara Bank,Financial Services,Nifty100
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Nifty100
CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,Nifty100
COALINDIA,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,Nifty100
CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,Nifty100
DLF,DLF.NS,DLF Ltd.,Realty,Nifty100
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,Nifty100
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,Nifty100
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,Nifty100
ETERNAL,ETERNAL.NS,Eternal Ltd.,Consumer Services,Nifty100
GAIL,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,Nifty100
GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,Nifty100
GRASIM,GRASIM.NS,Grasim Industries Ltd.,Construction Materials,Nifty100
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,Nifty100
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,Nifty100
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,Nifty100
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,Nifty100
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining,Nifty100
HAL,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,Nifty100
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,Nifty100
HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,Nifty100
HYUNDAI,HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,Nifty100
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Nifty100
ITC,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,Nifty100
INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,Nifty100
IOC,IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,Nifty100
IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,Nifty100
INFY,INFY.NS,Infosys Ltd.,Information Technology,Nifty100
INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,Services,Nifty100
JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,Nifty100
JINDALSTEL,JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,Nifty100
JIOFIN,JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,Nifty100
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,Nifty100
LTM,LTM.NS,LTM Ltd.,Information Technology,Nifty100
